Treatment,ID,Diameter,Height,nodes,flowers,branches,2flowers,,,,,,,,,
Wet,3081,4.04,36.4,16,8,4,0,,,,,,,,,
Wet,3174,4.26,36.4,16,6,5,0,,,,,,,,,
Dry,2334,5.23,36.4,17,8,2,0,,,,,,,,,
Dry,2316,5.51,36.4,17,11,18,27,,,,,,,,,
Dry,3210,2.83,36.5,15,9,1,0,,,,,,,,,
Wet,3141,2.97,36.5,11,6,4,0,,,,,,,,,
Dry,2793,3.14,36.5,13,12,10,0,,,,,,,,,
Dry,2853,3.24,36.5,14,10,8,0,,,,,,,,,
Dry,2769,3.26,36.5,13,8,3,0,,,,,,,,,
Dry,2445,4.35,36.5,16,8,13,23,,,,,,,,,
