"","ID","Treatment","Tray","Placement","Flowering_date","avg_germ","FT","Sow_date","FD","days_to_germ","Rep","S0_ID","Name","Site","Year","Generation","Region","PrePeak","S1_ID","S0_trt","S1_trt","TRTHIS"
"148",2109,"Wet",24,17,"24-Jan","02-Nov","83","29-Oct","87","4.666666667","2","6","Sweetwater","S02",2010,"S0","South","Pre",1018,"W","D","WD"
"149",2111,"Wet",7,7,"Oct-31","Aug-22","70","Aug-15","77","7","1","6","Sweetwater","S02",2010,"S0","South","Pre",1018,"W","W","WW"
"150",2111,"Dry",7,7,"Oct-20","Aug-22","59","Aug-15","66","7","1","6","Sweetwater","S02",2010,"S0","South","Pre",1018,"W","W","WW"
"151",2112,"Wet",15,7,"01-Feb","05-Nov","88","29-Oct","95","7","2","6","Sweetwater","S02",2010,"S0","South","Pre",1018,"W","W","WW"
"152",2112,"Dry",15,7,"09-Jan","05-Nov","65","29-Oct","72","7","2","6","Sweetwater","S02",2010,"S0","South","Pre",1018,"W","W","WW"
"153",2114,"Wet",10,13,"","#DIV/0!","#DIV/0!","Aug-15","May-15","#DIV/0!","1","6","Sweetwater","S02",2010,"S0","South","Pre",1019,"W","D","WD"
"154",2114,"Dry",10,13,"","#DIV/0!","#DIV/0!","Aug-15","May-15","#DIV/0!","1","6","Sweetwater","S02",2010,"S0","South","Pre",1019,"W","D","WD"
"155",2115,"Dry",2,5,NA,"#DIV/0!","#DIV/0!","29-Oct","#VALUE!","#DIV/0!","2","6","Sweetwater","S02",2010,"S0","South","Pre",1019,"W","D","WD"
"156",2115,"Wet",2,5,NA,"#DIV/0!","#DIV/0!","29-Oct","#VALUE!","#DIV/0!","2","6","Sweetwater","S02",2010,"S0","South","Pre",1019,"W","D","WD"
"157",2117,"Wet",14,11,"Oct-25","Aug-22","64","Aug-15","71","7.666666667","1","6","Sweetwater","S02",2010,"S0","South","Pre",1019,"W","W","WW"
"158",2117,"Dry",14,11,"Oct-23","Aug-22","62","Aug-15","69","7.666666667","1","6","Sweetwater","S02",2010,"S0","South","Pre",1019,"W","W","WW"
"159",2118,"Wet",19,15,"20-Jan","03-Nov","78","29-Oct","83","5.333333333","2","6","Sweetwater","S02",2010,"S0","South","Pre",1019,"W","W","WW"
"160",2118,"Dry",19,15,"08-Jan","03-Nov","66","29-Oct","71","5.333333333","2","6","Sweetwater","S02",2010,"S0","South","Pre",1019,"W","W","WW"
"161",2120,"Dry",20,4,"Oct-17","Aug-22","56","Aug-15","63","7.666666667","1","6","Sweetwater","S02",2010,"S0","South","Pre",1020,"W","D","WD"
